Noun,A+N,F+N,all+N,O-Den,Bare Singular,Bare Plural,Non-Denumerators,a/an,number,digits,plural numeral,approximative,comparative,round numbers,imprecise quantifier,precise quantifier,non denumerating quantifier,measure,non quantificational,partitive,the,N/A,Celex_Countable,Celex_Uncountable,Noun Count,Plural Noun Percentage
strontium,0,0,0,0.722222222,0.632,0,0.277777778,0,0,0.722222222,0,0,0,0,0,0,0,0,0,0,0.277777778,0,0,1,64,0
strop,0.444444444,0,0,0,0.071,0.143,0.555555556,0.444444444,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0.444444444,0,1,0,16,0.188
strophe,0.111111111,0,0,0.222222222,0.077,0.385,0.444444444,0.111111111,0.111111111,0.111111111,0,0,0,0,0,0,0,0,0.222222222,0,0.222222222,0.222222222,1,0,15,0.533
structure,0.224835803,0.009622728,0.000534596,0.045975256,0.131,0.178,0.713762028,0.221780968,0.012753933,0.005498702,0.000458225,0,0.000381854,0,0.009088132,0.031006568,0.000152742,7.64E-05,0.060256606,0,0.653123568,0.005116847,1,1,25227,0.317
strudel,0.291666667,0,0,0.041666667,0.368,0.088,0.666666667,0.291666667,0,0.041666667,0,0,0,0,0,0,0,0,0.083333333,0,0.583333333,0,1,1,77,0.182
struggle,0.320456093,0.006466984,0.001531654,0.022804629,0.153,0.056,0.645847515,0.319945541,0.004594963,0.002212389,0.000340368,0,0,0.000170184,0.005956433,0.016848196,0,0,0.063308373,0,0.582539142,0.003744044,1,0,10143,0.176
strum,0.333333333,0,0,0.111111111,0.567,0.033,0.555555556,0.222222222,0.111111111,0,0,0,0,0,0,0.111111111,0,0,0,0,0.555555556,0,0,0,36,0.056
strumpet,0.5625,0.0625,0,0.0625,0.174,0.043,0.3125,0.5625,0,0,0,0,0,0,0.0625,0.0625,0,0,0.25,0,0.0625,0,1,0,28,0.143
strut,0.367346939,0.010204082,0.010204082,0.071428571,0.109,0.167,0.551020408,0.357142857,0.030612245,0.020408163,0,0,0,0,0.010204082,0.030612245,0.010204082,0,0.020408163,0,0.520408163,0,1,0,211,0.365
strychnine,0,0,0,0,0.812,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,1,16,0
stub,0.27,0.03,0,0.05,0.134,0.178,0.64,0.27,0.03,0.01,0.005,0,0,0,0.03,0.01,0,0,0.015,0,0.625,0.005,1,0,436,0.353
stubble,0.12972973,0.010810811,0,0.010810811,0.383,0,0.843243243,0.12972973,0.010810811,0,0,0,0,0,0.010810811,0,0,0,0.021621622,0,0.821621622,0.005405405,0,1,427,0
stubbornness,0.272727273,0,0,0,0.325,0,0.727272727,0.272727273,0,0,0,0,0,0,0,0,0,0,0.090909091,0,0.636363636,0,0,1,207,0
